symbol,name,exchange,market_cap,share_outstanding,float_shares,sector,industry,country,currency
AI,"C3.ai, Inc.",NYQ,1969138304.0,137253289.0,130794986.0,Technology,Software - Infrastructure,United States,USD
AIBD,Direxion Daily AI And Big Data Bear 2X Shares,PCX,,,,,,,USD
AIEQ,Amplify AI Powered Equity ETF,PCX,,,,,,,USD
AIG,"American International Group, Inc.",NYQ,47910252544.0,539576054.0,538011283.0,Financial Services,Insurance - Diversified,United States,USD
AII,"American Integrity Insurance Group, Inc.",NYQ,402890624.0,19576804.0,11814993.0,Financial Services,Insurance - Property & Casualty,United States,USD
AIIA,AI Infrastructure Acquisition Corp.,NYQ,191740672.0,14690000.0,,,,,USD
AIM,AIM ImmunoTech Inc.,ASE,3673351.0,2938681.0,2747035.0,Healthcare,Biotechnology,United States,USD
AIN,Albany International Corp.,NYQ,1519962368.0,28663591.0,28425628.0,Consumer Cyclical,Textile Manufacturing,United States,USD
AINP,Allspring Income Plus ETF,PCX,,,,,,,USD
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund,NYQ,797753600.0,34430453.0,,Financial Services,Asset Management,United States,USD
AIS,VistaShares Artificial Intelligence Supercycle ETF,PCX,,,,,,,USD
AIT,"Applied Industrial Technologies, Inc.",NYQ,9995728896.0,37717910.0,37344880.0,Industrials,Industrial Distribution,United States,USD
AIV,Apartment Investment and Management Company,NYQ,864453248.0,144075540.0,122920928.0,Real Estate,REIT - Residential,United States,USD
AIVC,Amplify Bloomberg AI Value Chain ETF,PCX,,,,,,,USD
AIVI,WisdomTree International Al Enhanced Value Fund,PCX,,,,,,,USD
AIVL,WisdomTree U.S. Al Enhanced Value Fund,PCX,,,,,,,USD
AIYY,YieldMax AI Option Income Strategy ETF,PCX,,,,,,,USD
AIZ,"Assurant, Inc.",NYQ,12116770816.0,50081110.0,49787635.0,Financial Services,Insurance - Property & Casualty,United States,USD
AIZN,"Assurant, Inc. 5.25% Subordinat",NYQ,,,,,,,USD
AJG,Arthur J. Gallagher & Co.,NYQ,67149373440.0,256805000.0,253898160.0,Financial Services,Insurance Brokers,United States,USD
AKA,a.k.a. Brands Holding Corp.,NYQ,123296136.0,10739676.0,772075.0,Consumer Cyclical,Apparel Retail,United States,USD
AKAF,The Frontier Economic Fund,NYQ,,,,,,,USD
AL,Air Lease Corporation,NYQ,7176432640.0,111765032.0,105127307.0,Industrials,Rental & Leasing Services,United States,USD
ALAI,Alger AI Enablers & Adopters ETF,PCX,,,,,,,USD
ALB,Albemarle Corporation,NYQ,17655805952.0,117697540.0,117303253.0,Basic Materials,Specialty Chemicals,United States,USD
ALC,Alcon Inc.,NYQ,39634198528.0,491200000.0,490207776.0,Healthcare,Medical Instruments & Supplies,Switzerland,USD
ALEX,"Alexander & Baldwin, Inc.",NYQ,1503189888.0,72638416.0,72174210.0,Real Estate,REIT - Retail,United States,USD
ALG,Alamo Group Inc.,NYQ,2112446080.0,12115428.0,11938300.0,Industrials,Farm & Heavy Construction Machinery,United States,USD
ALH,Alliance Laundry Holdings Inc.,NYQ,4330355200.0,202826920.0,45617212.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,USD
ALIT,"Alight, Inc.",NYQ,1082495488.0,522778829.0,462915425.0,Technology,Software - Application,United States,USD
ALK,"Alaska Air Group, Inc.",NYQ,5972254208.0,115988613.0,115412150.0,Industrials,Airlines,United States,USD
ALL,The Allstate Corporation,NYQ,54756409344.0,261681708.0,260135169.0,Financial Services,Insurance - Property & Casualty,United States,USD
ALLE,Allegion plc,NYQ,13833076736.0,86031953.0,84828366.0,Industrials,Security & Protection Services,Ireland,USD
ALLY,Ally Financial Inc.,NYQ,14250540032.0,308053195.0,276714943.0,Financial Services,Credit Services,United States,USD
ALSN,"Allison Transmission Holdings, Inc.",NYQ,8439435776.0,83228716.0,100755723.0,Consumer Cyclical,Auto Parts,United States,USD
ALTG,Alta Equipment Group Inc.,NYQ,152150528.0,32235283.0,16559587.0,Industrials,Rental & Leasing Services,United States,USD
ALTL,Pacer Lunt Large Cap Alternator ETF,PCX,,,,,,,USD
ALV,"Autoliv, Inc.",NYQ,9245284352.0,75965348.0,75681238.0,Consumer Cyclical,Auto Parts,Sweden,USD
ALX,"Alexander's, Inc.",NYQ,1114206464.0,5107290.0,2125654.0,Real Estate,REIT - Retail,United States,USD
