symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
DXLG,"Destination XL Group, Inc.",United States,NGM,USD,,54656415.0,27571975.0,50797676.0
CGCT,Cartesian Growth Corporation III,United States,NGM,USD,,27600000.0,27600000.0,355695008.0
CGCTW,Cartesian Growth Corporation III,United States,NGM,USD,,,27600000.0,
CGCTU,Cartesian Growth Corporation III,United States,NGM,USD,,,27600000.0,
COLM,Columbia Sportswear Company,United States,NMS,USD,,53888892.0,27654702.0,3044120576.0
PSMT,"PriceSmart, Inc.",United States,NMS,USD,,30816360.0,27693490.0,3859552000.0
BLD,TopBuild Corp.,United States,NYQ,USD,,28071651.0,27696136.0,12153724928.0
UVSP,Univest Financial Corporation,United States,NMS,USD,,28475713.0,27711425.0,949949824.0
SND,"Smart Sand, Inc.",United States,NMS,USD,,39711792.0,27723026.0,153347088.0
CMCO,Columbus McKinnon Corporation,United States,NMS,USD,,28728261.0,27765140.0,511075776.0
GEF,"Greif, Inc.",United States,NYQ,USD,,25996487.0,27838126.0,4067632896.0
ASLE,AerSale Corporation,United States,NCM,USD,,47185011.0,27926921.0,335485440.0
NVGS,Navigator Holdings Ltd.,United Kingdom,NYQ,USD,,65537859.0,28006293.0,1151327232.0
BKSY,BlackSky Technology Inc.,United States,NYQ,USD,,35992596.0,28029499.0,695017024.0
NPACW,New Providence Acquisition Corp. III,United States,NGM,USD,,,28075978.0,
NPACU,New Providence Acquisition Corp. III,United States,NGM,USD,,,28075978.0,
NPAC,New Providence Acquisition Corp. III,United States,NGM,USD,,30887075.0,28075978.0,394166272.0
OPRA,Opera Limited,Norway,NMS,USD,,89648056.0,28080461.0,1300793344.0
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",Panama,NYQ,USD,,28736597.0,28101586.0,1636469760.0
BFST,"Business First Bancshares, Inc.",United States,NMS,USD,,29615370.0,28113278.0,791322688.0
YTRA,"Yatra Online, Inc.",India,NCM,USD,,60496204.0,28172549.0,112825424.0
NHPAP,"National Healthcare Properties, Inc.",United States,NGM,USD,,,28181087.0,
NHPBP,"National Healthcare Properties, Inc.",United States,NGM,USD,,,28181087.0,
HGBL,Heritage Global Inc.,United States,NCM,USD,,34741553.0,28232028.0,43774356.0
VTS,"Vitesse Energy, Inc.",United States,NYQ,USD,,38673632.0,28251475.0,738279616.0
CAMT,Camtek Ltd.,Israel,NGM,USD,,45766257.0,28266156.0,4990810112.0
NXST,"Nexstar Media Group, Inc.",United States,NMS,USD,,30326192.0,28273412.0,6215352832.0
THRM,Gentherm Incorporated,United States,NMS,USD,,30525148.0,28333442.0,1134314496.0
TG,Tredegar Corporation,United States,NYQ,USD,,34792151.0,28333995.0,258157776.0
RBC,RBC Bearings Incorporated,United States,NYQ,USD,,31611442.0,28410408.0,14425248768.0
CCNEP,CNB Financial Corporation,United States,NMS,USD,,,28438243.0,
CCNE,CNB Financial Corporation,United States,NMS,USD,,29476240.0,28438243.0,790552768.0
EVER,"EverQuote, Inc.",United States,NGM,USD,,32351643.0,28446886.0,974528128.0
LTBR,Lightbridge Corporation,United States,NCM,USD,,32371338.0,28470642.0,445105888.0
SPIR,"Spire Global, Inc.",United States,NYQ,USD,,33100260.0,28490056.0,256196000.0
HRI,Herc Holdings Inc.,United States,NYQ,USD,,33269714.0,28520795.0,5205712384.0
CTS,CTS Corporation,United States,NYQ,USD,,29052423.0,28554464.0,1310236544.0
MENS,Jyong Biotech Ltd.,Taiwan,NGM,USD,,76027667.0,28587286.0,244809088.0
TSE,Trinseo PLC,United States,NYQ,USD,,35993589.0,28635060.0,19796474.0
PROF,Profound Medical Corp.,Canada,NCM,USD,,35371531.0,28718937.0,260688192.0
GPATU,GP-Act III Acquisition Corp.,United States,NGM,USD,,,28750000.0,
GPATW,GP-Act III Acquisition Corp.,United States,NGM,USD,,,28750000.0,
GPAT,GP-Act III Acquisition Corp.,United States,NGM,USD,,28750000.0,28750000.0,383812512.0
CRVL,CorVel Corporation,United States,NMS,USD,,51246949.0,28789511.0,3545197568.0
TRON,Tron Inc.,United States,NCM,USD,,257115400.0,28802067.0,370246176.0
GLUE,"Monte Rosa Therapeutics, Inc.",United States,NMS,USD,,65117761.0,28946147.0,1125886080.0
REX,REX American Resources Corporation,United States,NYQ,USD,,32937718.0,28954560.0,1129907840.0
OBK,"Origin Bancorp, Inc.",United States,NYQ,USD,,30972121.0,29015922.0,1188710016.0
EDAP,EDAP TMS S.A.,France,NGM,USD,,37392086.0,29046387.0,127133104.0
ALXO,ALX Oncology Holdings Inc.,United States,NMS,USD,,54218001.0,29049463.0,72109944.0
PRTH,"Priority Technology Holdings, Inc.",United States,NCM,USD,,81871568.0,29083237.0,452749792.0
HAFC,Hanmi Financial Corporation,United States,NMS,USD,,29955307.0,29097129.0,835997312.0
